filename,label,path,text
audio_173,3.0,/kaggle/input/shl-intern-hiring-assessment-2025/dataset/audios/train/audio_173.wav," My favorite place to visit would be Japan because, well, I'm really interested in their culture. I'm really into all Japanese stuff like anime, their history, etc. So that's why that would be my favorite place to visit."
audio_138,3.0,/kaggle/input/shl-intern-hiring-assessment-2025/dataset/audios/train/audio_138.wav," I loved reading and my hobbies as reading. Emma discovered her love for reading at an English when the pages of a one-word fairy tale book transported her to a world of magic and adventure. Now with a bustling career and fast-paced life, reading has become her sanctuary, her way of unwinding after a long day. This reading was very inspiring to me so that I started reading"
audio_127,2.0,/kaggle/input/shl-intern-hiring-assessment-2025/dataset/audios/train/audio_127.wav," Yeah, my favorite place to visit is Thirmala. It is near Chittara district. There is a very favorite temple. In the temple, Lord Venkateswara is there. There is a famous Buddhist."
audio_95,2.0,/kaggle/input/shl-intern-hiring-assessment-2025/dataset/audios/train/audio_95.wav," I am going to tell about my hobby. And my hobby, generally a hobby is considered as a regular activity that is done for enjoyment during leisure time."
audio_73,3.5,/kaggle/input/shl-intern-hiring-assessment-2025/dataset/audios/train/audio_73.wav, hmm this is a tough one so my best day of my life basically right now i would say it's the day my daughter was born and my wife was pretty much okay with that and she always had the best day of my life to be on our wedding day and i think the best day of my life is the day my daughter
audio_34,4.0,/kaggle/input/shl-intern-hiring-assessment-2025/dataset/audios/train/audio_34.wav," My goal in life has always been to be the best business consultant. And this was fueled when I was young, growing up. There's this one time I went to the bank and I saw one banker who was seated there and he was an amazing guy, the way he had dressed. It was so amazing, you know, and I loved how he looked. And I said one time, I want to be, you know, an accountant."
audio_120_2,3.0,/kaggle/input/shl-intern-hiring-assessment-2025/dataset/audios/train/audio_120_2.wav, I want to ride the train however the file is very long. There are several elders ahead of me and then when the train comes I step in the train slowly and let the elders move ahead of me and have to locate their seat in a proper place.
audio_224,2.0,/kaggle/input/shl-intern-hiring-assessment-2025/dataset/audios/train/audio_224.wav," Can you describe the journey of travel experience getting destination? Well, I tried to go to a province in Leite where I tried to do a vacation. Well, at first, I'm hesitant if I will go to a land travel or I should go."
audio_342,2.0,/kaggle/input/shl-intern-hiring-assessment-2025/dataset/audios/train/audio_342.wav," A marketplace is a very busy place where the people go to buy articles of their needs. It is a center of an attraction, both buyers and sellers."
audio_228,2.0,/kaggle/input/shl-intern-hiring-assessment-2025/dataset/audios/train/audio_228.wav, an airport is a bus lighting hub filled with travelers wheeling suitcases the sounds of announcement and the aroma of coffee bright shop line the concocious concocious
audio_133,3.0,/kaggle/input/shl-intern-hiring-assessment-2025/dataset/audios/train/audio_133.wav, if I think of a flood I would be thinking of a lot of houses underwater maybe a lot of people trying to swim to cross the different streets dogs trying to follow their their owners also imagine a lot of cars underwater people on under trying to ask for help on their roofs and a lot of
audio_223,3.0,/kaggle/input/shl-intern-hiring-assessment-2025/dataset/audios/train/audio_223.wav," For me to describe the best day of my life is going to meet my family, my friends, my children. Because I have two mothers and two fathers. So we will be celebrating our best days at the picnic. So all of my family will be there. Together we will celebrate our best day of my life together. So we will also bring cakes, ice cream."
audio_287,2.5,/kaggle/input/shl-intern-hiring-assessment-2025/dataset/audios/train/audio_287.wav," Crowded market is a kleidoscope of sights, sounds and smells. The air is thick with the aroma of exotic species, fresh produce and street food. People of all ages and backgrounds through the narrow alleys."
